Active,Ativo
"Add Attribute Mapping","Adicionar o mapeamento de atributo"
"Add New Attribute","Adicionar Novo Atributo"
"Add to Google Base","Adicionar ao Google Base"
"Are you sure?","Tem certeza?"
Attribute,Atributo
"Attribute Set","Conjunto de Atributos"
"Attribute Set and Item Type","Conjunto de atributos e o tipo de Item"
Attributes,Atributos
"Attributes Mapping","Mapeamento de atributos"
"Attributes Set","Conjunto de atributos"
AuthSub,AuthSub
"Available Products","Produtos disponíveis"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Moeda-base deve ser definida como %s para %s na configuração do sistema. Caso contrário os preços do item não será corretos no Google Base."
"Cannot update Google Base Item for Store '%s'","Não é possível atualizar o Google Base Item para loja ' %s'"
"Captcha confirmation error: %s","Erro de confirmação CAPTCHA: %s"
"Captcha has been confirmed.","Captcha foi confirmado."
Catalog,Catálogo
Clicks,Cliques
ClientLogin,ClientLogin
Confirm,Confirmar
"Current Mapping will be reloaded. Continue?","Mapeamento atual será recarregado. Continuar?"
"Custom attribute, no mapping","Atributo personalizado, sem mapeamento"
Delete,Excluir
"Delete Mapping","Excluir o mapeamento"
"Edit Item Type","Editar o tipo de Item"
"Edit Item Type ""%s""","Editar Item tipo ""%s"""
"Error: %s","Erro: %s"
Expires,Expira
Google,Google
"Google Base","Google Base"
"Google Base Attribute","Atributo de Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Tipo de Item de Google Base"
"Google Base Item type","Tipo do Item Base de Google"
"Google Base Items","Google Base itens"
"Google base","Google base"
Hide,Esconder
Hosted,Hospedado
"Hosted or Google","Hospedado ou Google"
Impr.,Dest.
"Invalid Product Model for Google Base Item","Modelo do produto inválido para Google Base Item"
"Item Type was deleted","Tipo de item foi excluído"
"Item Types","Tipos de item"
"Item model is not specified to delete Google Base entry.","Modelo de item não for especificado para excluir a entrada do Google Base."
Items,Itens
"Manage Attribute Mapping","Gerenciar o mapeamento de atributo"
"Manage Attributes","Gerenciar Atributos"
"Manage Items","Gerenciar itens"
"New Item Type","Novo Tipo de Item"
"New ItemType","Novo ItemType"
No,Não
"No items were deleted from Google Base","Não há itens foram excluídos do Google Base"
"No items were published","Não há itens foram publicados"
"No items were saved as inactive items","Não há itens foram salvos como itens inativos"
"No products were added to Google Base","Não há produtos foram adicionados à Base de Google"
"Object model is not specified to save Google Base entry.","Modelo de objeto não for especificado para salvar a entrada do Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, selecione o atributo definido e tipo de Item de Google para carregar atributos"
"Product Name","Nome do produto"
Publish,Publicar
Published,Publicado
Remove,Remover
"Save Mapping","Salvar o mapeamento"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sessão expirou durante a exportação. Por favor rever produtos exportados e repita o processo, se necessário."
Synchronize,Sincronizar
"Target Country","País de destino"
"The item type has been saved.","O tipo de item foi salvo."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta ação irá atualizar estatísticas de itens e remover itens que não estão disponíveis no Google Base. Continuar?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Total de %d itens (s) foram excluídos; total de %d itens (s) foram atualizados."
"Total of %d items(s) have been published.","Total de %d itens (s) têm sido publicados."
"Total of %d items(s) have been removed from Google Base.","Total de %d itens (s) foram removidos do Google Base."
"Total of %d items(s) have been saved as inactive items.","Total de %d itens (s) foram salvas como itens inativos."
"Total of %d product(s) have been added to Google Base.","Total de %d s foram adicionados à Base de Google."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Não é possível se conectar ao Google Base. Por favor, verifique as configurações de conta na configuração."
"Unable to select a Store View.","Não é possível selecionar um modo de exibição de loja."
"View Available Products","Ver os produtos disponíveis"
"View Item in Google Base","Item de exibição no Google Base"
Yes,Sim
