"""Remember Me"" Default Value","Valor padrão de ""Remember Me"""
"(Not %s?)","(Não %s?)"
"* Required Fields","* Os campos obrigatórios"
Address,Endereço
"Address Information","Informações de endereço"
"Already registered?","Já registrado?"
Back,Voltar
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Criando uma conta com nossa loja, você será capaz de mover-se através do processo de check-out mais rápido, armazenar múltiplos endereços de envio, ver e rastrear seus pedidos em sua conta e muito mais."
"Cannot load configuration from file %s.","Não é possível carregar a configuração do arquivo %s."
"Checkout as Guest","Check-out como convidado"
"Checkout as a Guest or Register","Check-out como um convidado ou registrar"
City,Cidade
"Clear Persistence on Log Out","Clara persistência em Log Out"
Close,Fechar
Company,Empresa
"Confirm Password","Confirmar senha"
Continue,Continuar
Country,País
"Create an Account","Criar uma conta"
"Easy access to your order history and status","Fácil acesso ao seu histórico de pedidos e status"
"Email Address","Endereço de e-mail"
"Enable ""Remember Me""","Habilitar ""Remember Me"""
"Enable Persistence","Habilitar a persistência"
"Fast and easy check out","Rápido e fácil Confira"
Fax,Fax
"Forgot Your Password?","Esqueceu sua senha?"
"Forgot your password?","Esqueceu sua senha?"
"General Options","Opções gerais"
"If you have an account with us, please log in.","Se você tiver uma conta conosco, efetue o login."
"Loading next step...","Próxima etapa de carregamento..."
Login,Login
"Login Information","Informações de login"
"Login or Create an Account","Login ou criar uma conta"
"New Customers","Novos clientes"
Password,Senha
"Persist Shopping Cart","Persistir o carrinho de compras"
"Persistence Lifetime (seconds)","Vida de persistência (segundos)"
"Persistent Shopping Cart","Carrinho de compras persistente"
"Personal Information","Informações pessoais"
"Please log in below:","Efetue o login abaixo:"
"Please select region, state or province","Por favor selecione a região, estado ou província"
Register,Registre-se
"Register and save time!","Cadastro e economize tempo!"
"Register to Create an Account","Registre-se para criar uma conta"
"Register with us for future convenience:","Registre-se conosco para conveniência futura:"
"Registered Customers","Clientes registados"
"Remember Me","Lembra de mim"
"Save in address book","Salvar no catálogo de endereços"
"Select State/Province...","Selecione Estado/província..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança do seu livro de endereços ou insira um novo endereço."
"Ship to different address","Enviar para endereço diferente"
"Ship to this address","Enviar para este endereço"
"Shopping cart has been updated with appropriate prices","Carrinho de compras foi atualizado com preços adequados"
"Sign Up for Newsletter","Inscreva-se para Newsletter"
State/Province,Estado/província
"Street Address","Endereço rua"
"Street Address %s","Endereço rua %s"
Submit,Enviar
Telephone,Telefone
"To proceed to Checkout, please log in using your email address.","Para prosseguir para o check-out, efetue o login usando seu endereço de e-mail."
"VAT Number","Número de IVA"
"Welcome, %s!","Bem-vindo, %s!"
"What\'s this?","What\ é isso?"
"Zip/Postal Code","CEP/Código Postal"
