"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Adicionar nova avaliação"
"Assigned Options","Opções de atribuído"
"Be the first to review this product","Seja o primeiro a rever este produto"
"Default Value","Valor padrão"
"Delete Rating","Apagar avaliação"
"Edit Rating","Editar classificação"
ID,ID
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar um título de classificação para uma loja, o valor padrão será usado."
"Manage Ratings","Gerenciar avaliações"
"New Rating","Nova classificação"
"Option Label","Opção rótulo"
"Option Title","Título de opção"
"Option Title:","Título de opção:"
"Please select one of each ratings above","Por favor, selecione uma das classificações acima de cada"
"Rating Information","Classificação de informações"
"Rating Name","Classificação nome"
"Rating Options","Opções de classificação"
"Rating Title","Classificação título"
"Rating Visibility","Classificação de visibilidade"
"Rating isn't Available","Classificação não disponível"
"Rating with the same title","Classificação com o mesmo título"
"Save Rating","Salvar avaliação"
"Sort Order","Ordem de classificação"
"Visible In","Visível em"
